Age,417(e)
0,0.00326
1,0.00023
2,0.00015
3,0.00011
4,0.00009
5,0.00008
6,0.00007
7,0.00007
8,0.00006
9,0.00005
10,0.00005
11,0.00005
12,0.00007
13,0.00009
14,0.00011
15,0.00013
16,0.00015
17,0.00017
18,0.0002
19,0.00022
20,0.00023
21,0.00023
22,0.00024
23,0.00025
24,0.00026
25,0.00027
26,0.00027
27,0.00029
28,0.0003
29,0.00031
30,0.00033
31,0.00035
32,0.00036
33,0.0004
34,0.00041
35,0.00044
36,0.00046
37,0.00049
38,0.00051
39,0.00053
40,0.00055
41,0.00056
42,0.00058
43,0.0006
44,0.00063
45,0.00065
46,0.00069
47,0.00073
48,0.00077
49,0.00083
50,0.0009
51,0.001
52,0.00112
53,0.00125
54,0.00142
55,0.0017
56,0.00208
57,0.00242
58,0.00281
59,0.00322
60,0.00373
61,0.00427
62,0.00504
63,0.00582
64,0.00645
65,0.00729
66,0.00819
67,0.00906
68,0.01001
69,0.01108
70,0.01232
71,0.01374
72,0.01535
73,0.01717
74,0.01928
75,0.0217
76,0.02447
77,0.02761
78,0.0312
79,0.03528
80,0.04015
81,0.04512
82,0.0507
83,0.05697
84,0.06407
85,0.07216
86,0.08139
87,0.09182
88,0.10363
89,0.11672
90,0.13112
91,0.14617
92,0.1617
93,0.17767
94,0.19383
95,0.21015
96,0.22749
97,0.24529
98,0.26363
99,0.28252
100,0.30178
101,0.32125
102,0.3406
103,0.35977
104,0.37872
105,0.39715
106,0.41512
107,0.4324
108,0.44895
109,0.46479
110,0.47745
111,0.48571
112,0.49352
113,0.49724
114,0.4984
115,0.49953
116,0.49975
117,0.49988
118,0.49995
119,0.5
120,1
