,Retirement Date,Exact Age,Service Years,Adjusted Salary,Monthly Annuity,Full Lump Sum,Partial Lump,Reduced Annuity
0,2029-06-01,54.976,26,126339.2,5200.96,908019.38,0,5200.96
1,2029-07-01,55.058,26,126339.2,5200.96,906766.14,0,5200.96
2,2029-08-01,55.143,26,126339.2,5200.96,905466.16,0,5200.96
3,2029-09-01,55.228,26,126339.2,5200.96,904161.05,0,5200.96
4,2029-10-01,55.31,26,126339.2,5200.96,902893.11,0,5200.96
5,2029-11-01,55.395,26,126339.2,5200.96,901577.86,0,5200.96
6,2029-12-01,55.477,26,126339.2,5200.96,900300.07,0,5200.96
7,2030-01-01,55.562,26,126339.2,5200.96,898974.6,0,5200.96
8,2030-02-01,55.647,27,126339.2,5401,932169.2,0,5401
9,2030-03-01,55.723,27,126339.2,5401,930916.26,0,5401
10,2030-04-01,55.808,27,126339.2,5401,929523.98,0,5401
11,2030-05-01,55.89,27,126339.2,5401,928171.35,0,5401
12,2030-06-01,55.975,27,126339.2,5401,926768.24,0,5401
13,2030-07-01,56.057,27,126339.2,5401,925405.16,0,5401
14,2030-08-01,56.142,27,126339.2,5401,923991.33,0,5401
15,2030-09-01,56.227,27,126339.2,5401,922572.03,0,5401
16,2030-10-01,56.309,27,126339.2,5401,921193.25,0,5401
17,2030-11-01,56.394,27,126339.2,5401,919763.13,0,5401
18,2030-12-01,56.476,27,126339.2,5401,918373.84,0,5401
19,2031-01-01,56.561,27,126339.2,5401,916932.82,0,5401
20,2031-02-01,56.646,27,126339.2,5401,915486.21,0,5401
21,2031-03-01,56.723,27,126339.2,5401,914174.68,0,5401
22,2031-04-01,56.808,27,126339.2,5401,912717.39,0,5401
23,2031-05-01,56.89,27,126339.2,5401,911301.7,0,5401
