,Month,Age,Survival,Segment Rate (Annual),Discount Factor,PV of Payment
0,1,55.0594,0.9998741204654347,0.045,0.9962640099626402,5180.877016763046
1,2,55.1427,0.999697453798768,0.045,0.9925419775468396,5160.609328278473
2,3,55.226,0.9995207871321014,0.045,0.9888338506070633,5140.420766837674
3,4,55.3094,0.9993441204654346,0.045,0.9851395771925912,5120.3110240936785
4,5,55.3927,0.9991674537987679,0.045,0.9814591055467906,5100.279792899052
5,6,55.476,0.9989907871321013,0.045,0.9777923841063918,5080.326767301247
6,7,55.5594,0.9988141204654346,0.045,0.9741393615007641,5060.451642537943
7,8,55.6427,0.998637453798768,0.045,0.9704999865511971,5040.654115032437
8,9,55.726,0.9984607871321013,0.045,0.9668742082701839,5020.933882389036
9,10,55.8094,0.9982841204654346,0.045,0.9632619758607064,5001.290643388466
10,11,55.8927,0.998107453798768,0.045,0.9596632387155233,4981.724097983308
11,12,55.976,0.9979307871321013,0.045,0.9560779464164616,4962.233947293439
12,13,56.0594,0.997734241901848,0.045,0.9525060487337104,4942.721416273739
13,14,56.1427,0.9975296765018481,0.045,0.9489474956251162,4923.245838463233
14,15,56.226,0.9973251111018481,0.045,0.9454022372354831,4903.846793147068
15,16,56.3094,0.997120545701848,0.045,0.9418702238958737,4884.523980308718
16,17,56.3927,0.996915980301848,0.045,0.9383514061229129,4865.277101105161
17,18,56.476,0.996711414901848,0.045,0.9348457346180951,4846.105857862299
18,19,56.5594,0.996506849501848,0.045,0.9313531602670936,4827.009954070397
19,20,56.6427,0.9963022841018481,0.045,0.9278736341390722,4807.989094379538
20,21,56.726,0.996097718701848,0.045,0.9244071074859997,4789.042984595089
21,22,56.8094,0.995893153301848,0.045,0.9209535317419674,4770.171331673204
22,23,56.8927,0.995688587901848,0.045,0.9175128585225081,4751.373843716318
23,24,56.976,0.995484022501848,0.045,0.9140850396239185,4732.650229968681
24,25,57.0594,0.9952567645212573,0.045,0.9106700270225838,4713.892720617566
25,26,57.1427,0.9950203510326473,0.045,0.9072677728743052,4695.166108701128
26,27,57.226,0.9947839375440373,0.045,0.9038782295136292,4676.513626925133
27,28,57.3094,0.9945475240554273,0.045,0.90050134945318,4657.93498276961
28,29,57.3927,0.9943111105668173,0.045,0.8971370853829937,4639.429884865609
29,30,57.476,0.9940746970782073,0.045,0.8937853901698568,4620.998042990691
30,31,57.5594,0.9938382835895974,0.045,0.8904462168566445,4602.63916806442
31,32,57.6427,0.9936018701009873,0.045,0.8871195186616634,4584.352972143881
32,33,57.726,0.9933654566123773,0.045,0.8838052489779958,4566.139168419221
33,34,57.8094,0.9931290431237674,0.045,0.8805033613728478,4547.997471209199
34,35,57.8927,0.9928926296351573,0.045,0.877213809586897,4529.92759595675
35,36,57.976,0.9926562161465473,0.045,0.8739365475336459,4511.929259224586
36,37,58.0594,0.9923949398105989,0.045,0.8706715292987756,4493.889591568071
37,38,58.1427,0.9921236323546869,0.045,0.8674187091395025,4475.876485652729
38,39,58.226,0.991852324898775,0.045,0.8641780414839377,4457.93524929562
39,40,58.3094,0.9915810174428629,0.045,0.8609494809304487,4440.065596908956
40,41,58.3927,0.9913097099869509,0.045,0.8577329822470224,4422.267244035722
41,42,58.476,0.9910384025310388,0.045,0.8545285003706325,4404.539907345218
42,43,58.5594,0.9907670950751268,0.045,0.8513359904066079,4386.88330462862
43,44,58.6427,0.9904957876192149,0.045,0.8481554076280029,4369.297154794536
44,45,58.726,0.9902244801633028,0.045,0.8449867074749718,4351.781177864614
45,46,58.8094,0.9899531727073908,0.045,0.8418298455541439,4334.335094969134
46,47,58.8927,0.9896818652514787,0.045,0.8386847776380014,4316.9586283426415
