,Retirement Date,Exact Age,Service Years,Adjusted Salary,Monthly Annuity,Full Lump Sum,Partial Lump,Reduced Annuity
0,2029-06-01,54.977172700329234,25.8333,126342.53,5167.75,906915.35,0,5167.75
1,2029-07-01,55.059309910538886,25.8333,126356.83990241632,5168.34,892715.56,0,5168.34
2,2029-08-01,55.14418502775553,25.8333,126371.15142561155,5168.92,892815.74,0,5168.92
3,2029-09-01,55.22906014497217,25.8333,126385.46456976925,5169.51,892917.65,0,5169.51
4,2029-10-01,55.31119735518183,25.8333,126399.77933507304,5170.1,893019.56,0,5170.1
5,2029-11-01,55.39607247239847,25.8333,126414.09572170647,5170.68,893119.74,0,5170.68
6,2029-12-01,55.47820968260813,25.8333,126428.41372985327,5171.27,893221.65,0,5171.27
7,2030-01-01,55.56308479982477,25.8333,126442.73335969703,5171.85,913014.99,0,5171.85
8,2030-02-01,55.64795991704142,26.8333,126457.05461142145,5372.66,948465.08,0,5372.66
9,2030-03-01,55.724621313237094,26.8333,126471.37748521022,5373.27,948572.77,0,5373.27
10,2030-04-01,55.80949643045374,26.8333,126485.7019812471,5373.88,948680.45,0,5373.88
11,2030-05-01,55.89163364066339,26.8333,126500.02809971575,5374.49,948788.14,0,5374.49
12,2030-06-01,55.97650875788004,26.8333,126514.3558408,5375.1,948895.83,0,5375.1
13,2030-07-01,56.05864596808969,26.8333,126528.6852046836,5375.71,932820.98,0,5375.71
14,2030-08-01,56.14352108530634,26.8333,126543.0161915504,5376.31,932925.09,0,5376.31
15,2030-09-01,56.22839620252298,26.8333,126557.34880158414,5376.92,933030.94,0,5376.92
16,2030-10-01,56.31053341273264,26.8333,126571.68303496872,5377.53,933136.79,0,5377.53
17,2030-11-01,56.39540852994928,26.8333,126586.018891888,5378.14,933242.64,0,5378.14
18,2030-12-01,56.47754574015894,26.8333,126600.35637252586,5378.75,933348.49,0,5378.75
19,2031-01-01,56.56242085737558,26.8333,126614.69547706621,5379.36,960571.43,0,5379.36
20,2031-02-01,56.647295974592225,26.8333,126629.036205693,5379.97,960680.35,0,5379.97
21,2031-03-01,56.7239573707879,26.8333,126643.37855859012,5380.58,960789.28,0,5380.58
22,2031-04-01,56.80883248800454,26.8333,126657.72253594158,5381.19,960898.2,0,5381.19
23,2031-05-01,56.8909696982142,26.8333,126672.06813793138,5381.8,961007.13,0,5381.8
