Work Year, Taxed Social Security Earnings, Taxed Medicare Earnings
2024, $116755, $116755
2023, $110942, $110942
2022, $107327, $107327
2021, $104443, $104443
2020, $102579, $102579
2019, $101120, $101120
2018, $98643, $98643
2017, $95785, $95785
2016, $91961, $91961
2015, $88358, $88358
2014, $87527, $87527
2013, $85614, $85614
2012, $81231, $81231
2011, $79068, $79068
2010, $79111, $79111
2009, $85693, $85693
2008, $86698, $86698
2007, $80883, $80883
2006, $76495, $76495
2005, $73473, $73473
2004, $60555, $60555
2003, $46171, $46171
2002, $41494, $41494
2001, $63748, $63748
2000, $68263, $68263
1999, $48436, $48436
1998, $31290, $31290
1997, $14554, $14554
1996, $12784, $12784
1995, $11189, $11189
1994, $7360, $7360
1993, $1586, $1586
1992, $0, $0
1991, $2296, $2,296
1990, $316, $316	
